"id","Dimension","維度","Keyed","Scoring","English item","中文題面"
"1","Extraversion","外向性","+ (positive)","raw (as-is)","I am the life of the party.","我是派對中的靈魂人物。"
"2","Agreeableness","宜人性","− (reverse-keyed)","6 − raw","I feel little concern for others.","我覺得自己很少關心別人。"
"3","Conscientiousness","盡責性","+ (positive)","raw (as-is)","I am always prepared.","我隨時做好準備。"
"4","Neuroticism","神經質","+ (positive)","raw (as-is)","I get stressed out easily.","我容易感到壓力過大。"
"5","Openness","開放性","+ (positive)","raw (as-is)","I have a rich vocabulary.","我詞彙豐富。"
"6","Extraversion","外向性","− (reverse-keyed)","6 − raw","I don't talk a lot.","我話不多。"
"7","Agreeableness","宜人性","+ (positive)","raw (as-is)","I am interested in people.","我對人感興趣。"
"8","Conscientiousness","盡責性","− (reverse-keyed)","6 − raw","I leave my belongings around.","我總是丟三落四。"
"9","Neuroticism","神經質","− (reverse-keyed)","6 − raw","I am relaxed most of the time.","我大多時候是放鬆的。"
"10","Openness","開放性","− (reverse-keyed)","6 − raw","I have difficulty understanding abstract ideas.","我對於理解抽象概念有困難。"
"11","Extraversion","外向性","+ (positive)","raw (as-is)","I feel comfortable around people.","我和其他人在一起時感覺自在。"
"12","Agreeableness","宜人性","− (reverse-keyed)","6 − raw","I insult people.","我會侮辱別人。"
"13","Conscientiousness","盡責性","+ (positive)","raw (as-is)","I pay attention to details.","我經常注意細節。"
"14","Neuroticism","神經質","+ (positive)","raw (as-is)","I worry about things.","我時常為事擔心。"
"15","Openness","開放性","+ (positive)","raw (as-is)","I have a vivid imagination.","我有生動的想像力。"
"16","Extraversion","外向性","− (reverse-keyed)","6 − raw","I keep in the background.","我是個低調的人。"
"17","Agreeableness","宜人性","+ (positive)","raw (as-is)","I sympathize with others' feelings.","我會同情他人的感受。"
"18","Conscientiousness","盡責性","− (reverse-keyed)","6 − raw","I make a mess of things.","我常把事物弄得一團糟。"
"19","Neuroticism","神經質","− (reverse-keyed)","6 − raw","I seldom feel blue.","我很少感到鬱悶。"
"20","Openness","開放性","− (reverse-keyed)","6 − raw","I am not interested in abstract ideas.","我對抽象概念不感興趣。"
"21","Extraversion","外向性","+ (positive)","raw (as-is)","I start conversations.","我總是主動開始談話。"
"22","Agreeableness","宜人性","− (reverse-keyed)","6 − raw","I am not interested in other people's problems.","我對別人的問題不感興趣。"
"23","Conscientiousness","盡責性","+ (positive)","raw (as-is)","I get chores done right away.","我會立即將日常家務做完。"
"24","Neuroticism","神經質","+ (positive)","raw (as-is)","I am easily disturbed.","我容易受擾亂。"
"25","Openness","開放性","+ (positive)","raw (as-is)","I have excellent ideas.","我常有絕佳的點子。"
"26","Extraversion","外向性","− (reverse-keyed)","6 − raw","I have little to say.","我沒什麼話說。"
"27","Agreeableness","宜人性","+ (positive)","raw (as-is)","I have a soft heart.","我有顆柔軟的心。"
"28","Conscientiousness","盡責性","− (reverse-keyed)","6 − raw","I often forget to put things back in their proper place.","我常忘記物歸原處。"
"29","Neuroticism","神經質","+ (positive)","raw (as-is)","I get upset easily.","我容易感到悶悶不樂。"
"30","Openness","開放性","− (reverse-keyed)","6 − raw","I do not have a good imagination.","我想像力欠佳。"
"31","Extraversion","外向性","+ (positive)","raw (as-is)","I talk to a lot of different people at parties.","在聚會中我會跟許多不同的人說話。"
"32","Agreeableness","宜人性","− (reverse-keyed)","6 − raw","I am not really interested in others.","我對別人沒什麼興趣。"
"33","Conscientiousness","盡責性","+ (positive)","raw (as-is)","I like order.","我喜歡井然有序。"
"34","Neuroticism","神經質","+ (positive)","raw (as-is)","I change my mood a lot.","我的心情變化很大。"
"35","Openness","開放性","+ (positive)","raw (as-is)","I am quick to understand things.","我可以很快理解事物。"
"36","Extraversion","外向性","− (reverse-keyed)","6 − raw","I don't like to draw attention to myself.","我不喜歡引起別人對自己的注意。"
"37","Agreeableness","宜人性","+ (positive)","raw (as-is)","I take time out for others.","我總會為別人抽出時間。"
"38","Conscientiousness","盡責性","− (reverse-keyed)","6 − raw","I shirk my duties.","我會推卸責任。"
"39","Neuroticism","神經質","+ (positive)","raw (as-is)","I have frequent mood swings.","我的心情時常起伏不定。"
"40","Openness","開放性","+ (positive)","raw (as-is)","I use difficult words.","我常使用艱澀的字彙。"
"41","Extraversion","外向性","+ (positive)","raw (as-is)","I don't mind being the center of attention.","我不介意成為注目的焦點。"
"42","Agreeableness","宜人性","+ (positive)","raw (as-is)","I feel others' emotions.","我能感受他人的情緒。"
"43","Conscientiousness","盡責性","+ (positive)","raw (as-is)","I follow a schedule.","我總是按照預定計畫行事。"
"44","Neuroticism","神經質","+ (positive)","raw (as-is)","I get irritated easily.","我容易感到煩躁。"
"45","Openness","開放性","+ (positive)","raw (as-is)","I spend time reflecting on things.","我會花時間反思事物。"
"46","Extraversion","外向性","− (reverse-keyed)","6 − raw","I am quiet around strangers.","我和陌生人相處時顯得安靜。"
"47","Agreeableness","宜人性","+ (positive)","raw (as-is)","I make people feel at ease.","我能使人感到自在。"
"48","Conscientiousness","盡責性","+ (positive)","raw (as-is)","I am exacting in my work.","我對我的工作要求嚴謹。"
"49","Neuroticism","神經質","+ (positive)","raw (as-is)","I often feel blue.","我常感到鬱悶。"
"50","Openness","開放性","+ (positive)","raw (as-is)","I am full of ideas.","我總是充滿想法。"
